"Customer Id","Invoice Number","Entity Type","Purchase Item","Unit Price","Quantity","Amount","Paid On","Invoice Date","Expire On"
cus_556933,1103180,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-08 21:53:00.000,2023-08-08,2023-08-08 21:53:00.000
cus_556933,1103180,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-08 21:53:00.000,2023-08-08,2023-09-08 21:53:00.000
cus_556933,1103180,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-08 21:53:00.000,2023-08-08,2023-10-08 21:53:00.000
cus_556933,1103180,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-08 21:53:00.000,2023-08-08,2023-11-08 21:53:00.000
cus_556933,1103180,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-08 21:53:00.000,2023-08-08,2023-12-08 21:53:00.000
cus_556933,1103180,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-08 21:53:00.000,2023-08-08,2024-01-08 21:53:00.000
cus_556933,1103180,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-08 21:53:00.000,2023-08-08,2024-02-08 21:53:00.000
cus_556933,1103180,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-08 21:53:00.000,2023-08-08,2024-03-08 21:53:00.000
cus_556933,1103180,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-08 21:53:00.000,2023-08-08,2024-04-08 21:53:00.000
cus_556933,1103180,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-08 21:53:00.000,2023-08-08,2024-05-08 21:53:00.000
cus_556933,1103180,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-08 21:53:00.000,2023-08-08,2024-06-08 21:53:00.000
cus_556933,1103180,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-08 21:53:00.000,2023-08-08,2024-07-08 21:53:00.000
cus_9390596,1152067,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-28 20:49:00.000,2023-08-28,2023-08-28 20:49:00.000
cus_9390596,1152067,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-28 20:49:00.000,2023-08-28,2023-09-28 20:49:00.000
cus_9390596,1152067,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-28 20:49:00.000,2023-08-28,2023-10-28 20:49:00.000
cus_9390596,1152067,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-28 20:49:00.000,2023-08-28,2023-11-28 20:49:00.000
cus_9390596,1152067,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-28 20:49:00.000,2023-08-28,2023-12-28 20:49:00.000
cus_9390596,1152067,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-28 20:49:00.000,2023-08-28,2024-01-28 20:49:00.000
cus_9390596,1152067,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-28 20:49:00.000,2023-08-28,2024-02-28 20:49:00.000
cus_9390596,1152067,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-28 20:49:00.000,2023-08-28,2024-03-28 20:49:00.000
cus_9390596,1152067,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-28 20:49:00.000,2023-08-28,2024-04-28 20:49:00.000
cus_9390596,1152067,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-28 20:49:00.000,2023-08-28,2024-05-28 20:49:00.000
cus_9390596,1152067,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-28 20:49:00.000,2023-08-28,2024-06-28 20:49:00.000
cus_9390596,1152067,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-28 20:49:00.000,2023-08-28,2024-07-28 20:49:00.000
cus_9406941,1154290,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-29 14:50:00.000,2023-08-29,2023-08-29 14:50:00.000
cus_9406941,1154290,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-29 14:50:00.000,2023-08-29,2023-09-29 14:50:00.000
cus_9406941,1154290,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-29 14:50:00.000,2023-08-29,2023-10-29 14:50:00.000
cus_9406941,1154290,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-29 14:50:00.000,2023-08-29,2023-11-29 14:50:00.000
cus_9406941,1154290,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-29 14:50:00.000,2023-08-29,2023-12-29 14:50:00.000
cus_9406941,1154290,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-29 14:50:00.000,2023-08-29,2024-01-29 14:50:00.000
cus_9406941,1154290,Addon,CHN-VAL-1YR,10.0,1,10.0,2023-08-29 14:50:00.000,2023-08-29,2024-02-29 14:50:00.000
